institution,country,country_code
2U Degree,United States,US
AFYA EDUCACIONAL,Brazil,BR
Adekunle Ajasin University,Nigeria,NG
Al Akhawayn University,Morocco,MA
Alabama Community College System,United States,US
Alamo Colleges,United States,US
Alexandria City Public Schools,United States,US
Algoma University,Canada,CA
Allan Hancock College,United States,US
Alliance Manchester Business School,United Kingdom,GB
Alpine School District,United States,US
American University - DC,United States,US
American University of Iraq Baghdad,Iraq,IQ
Anahuac Mayab,Mexico,MX
Charterhouse Malaysia,Malaysia,MY
Angeles University Foundation,Philippines,PH
Anne Arundel Community College,United States,US
Anáhuac Online,Mexico,MX
Anáhuac Querétaro,Mexico,MX
Appalachian State University,United States,US
Appleton Area School District,United States,US
Arizona State University Learning Enterprise,United States,US
Arizona State University,United States,US
Arkansas State University,United States,US
Arlington ISD,United States,US
Arteveldehogeschool,Belgium,BE
Auburn University,United States,US
Auckland University of Technology,New Zealand,NZ
Augustana University,United States,US
Australian Catholic University,Australia,AU
Australian Computer Society,Australia,AU
Australian HR Institute,Australia,AU
Australian National University,Australia,AU
Avondale University,Australia,AU
BGSU,United States,US
BI Norwegian Business School,Norway,NO
BYU-Idaho,United States,US
BYU-Pathway Worldwide,United States,US
Baker College System,United States,US
Baliuag University,Philippines,PH
Ball State University,United States,US
Baltimore City Community College,United States,US
Baltimore City Public Schools,United States,US
Barenboim-Said Akademie,Germany,DE
Barry University,United States,US
Barstow Community College,United States,US
Bath Spa University,United Kingdom,GB
Baylor University,United States,US
Bellevue College,United States,US
Birmingham City University,United Kingdom,GB
Bishop Grosseteste University,United Kingdom,GB
Bloomsbury Institute,United Kingdom,GB
Boise State University,United States,US
Boston College,United States,US
Bradley University,United States,US
Brigham Young University,United States,US
Brigidine College St Ives,Australia,AU
Brock University,Canada,CA
Broken Arrow Public Schools,United States,US
Brookdale Community College,United States,US
Broward County Public Schools,United States,US
Brown University,United States,US
Brunel University London,United Kingdom,GB
Bucks County Community College,United States,US
Butler Community College,United States,US
Butte College,United States,US
CFA Institute,United States,US
CSU Bakersfield,United States,US
CSU Dominguez Hills,United States,US
CSU East Bay,United States,US
CSU Long Beach,United States,US
CSU Sacramento,United States,US
Cal Poly Pomona,United States,US
Cal State LA,United States,US
California Baptist University,United States,US
California Lutheran University,United States,US
California Polytechnic State University,United States,US
California State University Northridge,United States,US
California State University San Bernardino,United States,US
Capella University,United States,US
Carleton University,Canada,CA
Carmel Clay School District,United States,US
Carnegie Mellon University,United States,US
Carroll Community College,United States,US
Case Western Reserve University,United States,US
Catholic Education Office - Bathurst,Australia,AU
Catholic Education Office - Cairns,Australia,AU
Catholic Education Office - Townsville,Australia,AU
Catholic Education Tasmania,Australia,AU
Catholic Schools Parramatta Diocese,Australia,AU
Centennial College,Canada,CA
Central Luzon State University,Philippines,PH
Central Philippine University,Philippines,PH
Central Washington University,United States,US
Centro Escolar University,Philippines,PH
Centro Universitário FAM,Brazil,BR
Cerritos College,United States,US
Chabot-Las Positas Community College District,United States,US
Chaffey College,United States,US
Chalmers Tekniska Högskola,Sweden,SE
Chamberlain University,United States,US
Chapman University,United States,US
Charlotte Mecklenburg Schools,United States,US
Chiang Mai University,Thailand,TH
Chiba Institute of Technology,Japan,JP
Chippewa Valley Technical College,United States,US
Cientifica del Sur,Peru,PE
Citrus College,United States,US
Citrus County Schools,United States,US
City College of San Francisco,United States,US
City University of Hong Kong (Dongguan),China,CN
City University of Hong Kong,Hong Kong,HK
City of Taguig,Philippines,PH
Clark College,United States,US
Clark County School District,United States,US
Clemson University,United States,US
Clover Park Technical College,United States,US
College of Central Florida,United States,US
College of Lake County,United States,US
College of Marin,United States,US
College of Southern Idaho,United States,US
College of Southern Nevada,United States,US
College of Western Idaho,United States,US
College of the Canyons,United States,US
College of the Desert,United States,US
College of the Sequoias,United States,US
Collin College,United States,US
Colorado Mountain College,United States,US
Colorado School Of Mines,United States,US
Colorado State University Global Campus,United States,US
Colorado State University,United States,US
Columbia University,United States,US
Columbus City Schools,United States,US
Community College of Philadelphia,United States,US
Conroe ISD,United States,US
Copenhagen Business School,Denmark,DK
Cornell University,United States,US
Corporación Universidad de la Costa,Colombia,CO
Corpus Christi ISD,United States,US
Cranfield University,United Kingdom,GB
Cambridge College,United Kingdom,GB
Cambridge College Root Account - CC Instance of Canvas,United Kingdom,GB
Cambridge University Press,United Kingdom,GB
Cambridge Christian School,United States,US
CATS College Cambridge,United Kingdom,UK
Cambridge Assessment,United Kingdom, UK
